CONTAINER ID   NAME                    CPU %     MEM USAGE / LIMIT   MEM %     NET I/O   BLOCK I/O   PIDS
9efa6ee4cfff   gifted_bohr             0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
430aade5e24d   practical_gates         0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
a05977d03f16   jovial_almeida          0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
e4ddafca1263   quirky_dewdney          0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
cb5374932830   suspicious_cerf         0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
f40b4676769b   goofy_edison            0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
319bb648913a   cranky_hopper           0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
29124e2cacd9   zen_vaughan             0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
5cbe9d93bf6a   optimistic_ptolemy      0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
48d7705853b2   mycontainer             0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
eab25db23553   distracted_darwin       0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
3c7e3ac63e50   confident_aryabhata     0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
c14d69307668   vigilant_bohr           0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
8f4b1499b676   youthful_gauss          0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
6c75d481a371   gallant_goldstine       0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
afb8aaa7b8f5   blissful_swanson        0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
b83af3aaa91f   mycontainerbuild        0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
09c73eab2524   quizzical_noyce         0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
b4fe2f6aa8ed   beautiful_brown         0.00%     0B / 0B             0.00%     0B / 0B   0B / 0B     0
